;empty_slots;extra;free_bikes;id;latitude;longitude;name;timestamp
0;20;{'uid': '017'};7;9d57ab84bdcde15d64a1664c01ea8fb9;60.173099;24.949636;Varsapuistikko;2018-10-06T17:57:37.092000Z
1;10;{'uid': '039'};15;df83a13673a5c3139cab51286bc13003;60.182578;24.926764;Ooppera;2018-10-06T17:57:37.125000Z
2;11;{'uid': '128'};2;688c4566b4403571801f4268df799fd4;60.1920576;24.9642238;Päijänteentie;2018-10-06T17:57:37.076000Z
3;4;{'uid': '715'};8;37c5312fc86cf5a6286be9eacc3ac8c7;60.216222;24.821932;Komentajankatu;2018-10-06T17:57:37.128000Z
4;2;{'uid': '069'};12;cb6a7f2323230164c254c5c909d80ecb;60.1656962;24.9314323;Kalevankatu;2018-10-06T17:57:37.184000Z
5;10;{'uid': '587'};2;d8d1594239323944e2a30ef2493d8d85;60.162477;24.767831;Hauenkallio;2018-10-06T17:57:37.350000Z
6;27;{'uid': '026'};5;cfa241b3c8fe3a3384d61ee20ff315dc;60.168644;24.930435;Kampin metroasema;2018-10-06T17:57:37.107000Z
7;6;{'uid': '146'};10;0b47370a4249132f08f9226065237576;60.2172043;24.9544112;Pohjolanaukio;2018-10-06T17:57:37.106000Z
8;11;{'uid': '084'};0;241bdd9f5c08b30dbb6446469bfabd8d;60.19163756;24.90078593;Mäntytie;2018-10-06T17:57:37.260000Z
9;22;{'uid': '521'};7;e02233eb497bb93e13bc029eeb6fb547;60.177588;24.803942;Kulttuuriaukio;2018-10-06T17:57:37.271000Z
10;15;{'uid': '101'};9;6ee3e23da86fc75c6f11a707fb805747;60.2059946;24.8798291;Munkkivuoren ostoskeskus;2018-10-06T17:57:37.348000Z
11;1;{'uid': '004'};14;e7d6364475a29671947f060bdedaef92;60.160944;24.941859;Viiskulma;2018-10-06T17:57:37.070000Z
12;18;{'uid': '006'};5;ca527b35a8907cb96e8fb3275c43258b;60.162287;24.929542;Hietalahdentori;2018-10-06T17:57:37.073000Z
13;2;{'uid': '013'};15;033080b28b100f742e361f30e553085e;60.167891;24.975561;Merisotilaantori;2018-10-06T17:57:37.085000Z
14;8;{'uid': '015'};4;6fc5132955e07b845f6a2e62470292bd;60.171025;24.955571;Ritarikatu;2018-10-06T17:57:37.088000Z
15;4;{'uid': '016'};23;5d07a8fc3ba2ba51625e9993e61a491b;60.174175;24.96148;Liisanpuistikko;2018-10-06T17:57:37.090000Z
16;9;{'uid': '021'};43;f65b68cc5f19045a8b07f59f47b5b010;60.17291;24.93913;Töölönlahdenkatu;2018-10-06T17:57:37.098000Z
17;13;{'uid': '023'};19;584e77525465ab5217822e6f6a9f7c39;60.171413;24.937402;Kiasma;2018-10-06T17:57:37.102000Z
18;0;{'uid': '032'};0;37edaaaed3d70f61d09ada463150023e;60.171346;24.931874;Eläinmuseo;2018-10-06T17:57:37.119000Z
19;15;{'uid': '033'};1;087aed9505e2f06b74fbd6b96486c4d8;60.171155;24.92506;Kauppakorkeakoulu;2018-10-06T17:57:37.120000Z
20;11;{'uid': '034'};5;8adcd117e712e01bdc3d24ed2ee7f9d0;60.173944;24.932879;Kansallismuseo;2018-10-06T17:57:37.121000Z
21;1;{'uid': '036'};47;2c1c0df24c5fd9b98999de2d6ef0f2a6;60.176076;24.922503;Apollonkatu;2018-10-06T17:57:37.123000Z
22;14;{'uid': '037'};3;b91b0dc7dfe785f59ecdbbe187ea9fe2;60.1774947;24.928409278;Töölönkatu;2018-10-06T17:57:37.123000Z
23;7;{'uid': '038'};8;10388240daa03dce0726db54a627d4f4;60.179141;24.924981;Töölöntori;2018-10-06T17:57:37.124000Z
24;1;{'uid': '040'};34;38319ecf8cadc7b3c9a0c009bad1d142;60.178102;24.952391;Hakaniemen metroasema;2018-10-06T17:57:37.130000Z
25;6;{'uid': '041'};26;5d71dc7c702527c1cafcd88674750fe5;60.180808;24.949272;Ympyrätalo;2018-10-06T17:57:37.139000Z
26;14;{'uid': '043'};5;d03a5f077dd43c3979cac9bf1cff04f7;60.184283;24.952703;Karhupuisto;2018-10-06T17:57:37.142000Z
27;6;{'uid': '044'};16;9a129e60f204059e7033224e79ba4816;60.187704;24.960505;Sörnäisten metroasema;2018-10-06T17:57:37.143000Z
28;10;{'uid': '052'};8;f36e109143c3a5667c72fa3e53f3743f;60.1540763;24.8793159;Heikkilänaukio;2018-10-06T17:57:37.157000Z
29;11;{'uid': '053'};2;8d3c28d2071974a4568ce0018613acc8;60.156817;24.8850653;Heikkiläntie;2018-10-06T17:57:37.158000Z
30;1;{'uid': '056'};12;61b7df21d32a35c1373ea63c4464a23d;60.1654485;24.8601992;Luoteisväylä;2018-10-06T17:57:37.161000Z
31;2;{'uid': '593'};11;b5e6c836ffc8fb5e1e578a512ef301b8;60.159601;24.782536;Toppelundintie;2018-10-06T17:57:37.015000Z
32;15;{'uid': '110'};5;79e6a073c80d2667b629db194629b403;60.198898;24.924867;Maistraatintori;2018-10-06T17:57:37.017000Z
33;36;{'uid': '113'};3;74689515429fa60a03634dba53ae4ba6;60.199715;24.935198;Veturitori;2018-10-06T17:57:37.031000Z
34;11;{'uid': '115'};3;ad22db44a62ee3fb4fa7fbf881b14115;60.1942095;24.941578;Venttiilikuja;2018-10-06T17:57:37.041000Z
35;14;{'uid': '121'};3;4f9d39370f89c01556e6198029d28dbc;60.1864633;24.9678718;Vilhonvuorenkatu;2018-10-06T17:57:37.055000Z
36;8;{'uid': '122'};9;d6e1c2b7cab65e4b0cf39be6af30cc6a;60.1837182;24.9621936;Lintulahdenkatu;2018-10-06T17:57:37.059000Z
37;10;{'uid': '124'};9;18757df75f572ff24ba88b2ead97352c;60.18265182;24.98179261;Isoisänsilta;2018-10-06T17:57:37.069000Z
38;6;{'uid': '125'};22;c266d627b510c4ab43632d3bbbccb32c;60.1847821;24.9786428;Arielinkatu;2018-10-06T17:57:37.071000Z
39;11;{'uid': '126'};27;1099ea376c74cd14567299d4477044a0;60.188399;24.975852;Kalasataman metroasema;2018-10-06T17:57:37.073000Z
