;empty_slots;extra;free_bikes;id;latitude;longitude;name;timestamp
0;23;{'uid': '017'};4;9d57ab84bdcde15d64a1664c01ea8fb9;60.173099;24.949636;Varsapuistikko;2018-10-06T10:59:40.036000Z
1;7;{'uid': '039'};18;df83a13673a5c3139cab51286bc13003;60.182578;24.926764;Ooppera;2018-10-06T10:59:40.092000Z
2;10;{'uid': '128'};4;688c4566b4403571801f4268df799fd4;60.1920576;24.9642238;Päijänteentie;2018-10-06T10:59:40.015000Z
3;0;{'uid': '715'};16;37c5312fc86cf5a6286be9eacc3ac8c7;60.216222;24.821932;Komentajankatu;2018-10-06T10:59:40.094000Z
4;6;{'uid': '069'};8;cb6a7f2323230164c254c5c909d80ecb;60.1656962;24.9314323;Kalevankatu;2018-10-06T10:59:40.139000Z
5;11;{'uid': '587'};1;d8d1594239323944e2a30ef2493d8d85;60.162477;24.767831;Hauenkallio;2018-10-06T10:59:40.263000Z
6;15;{'uid': '026'};17;cfa241b3c8fe3a3384d61ee20ff315dc;60.168644;24.930435;Kampin metroasema;2018-10-06T10:59:40.068000Z
7;1;{'uid': '146'};15;0b47370a4249132f08f9226065237576;60.2172043;24.9544112;Pohjolanaukio;2018-10-06T10:59:40.063000Z
8;5;{'uid': '084'};6;241bdd9f5c08b30dbb6446469bfabd8d;60.19163756;24.90078593;Mäntytie;2018-10-06T10:59:40.177000Z
9;21;{'uid': '521'};8;e02233eb497bb93e13bc029eeb6fb547;60.177588;24.803942;Kulttuuriaukio;2018-10-06T10:59:40.184000Z
10;14;{'uid': '101'};11;6ee3e23da86fc75c6f11a707fb805747;60.2059946;24.8798291;Munkkivuoren ostoskeskus;2018-10-06T10:59:40.259000Z
11;12;{'uid': '004'};2;e7d6364475a29671947f060bdedaef92;60.160944;24.941859;Viiskulma;2018-10-06T10:59:40.008000Z
12;11;{'uid': '006'};16;ca527b35a8907cb96e8fb3275c43258b;60.162287;24.929542;Hietalahdentori;2018-10-06T10:59:40.012000Z
13;2;{'uid': '013'};16;033080b28b100f742e361f30e553085e;60.167891;24.975561;Merisotilaantori;2018-10-06T10:59:40.027000Z
14;11;{'uid': '015'};1;6fc5132955e07b845f6a2e62470292bd;60.171025;24.955571;Ritarikatu;2018-10-06T10:59:40.032000Z
15;4;{'uid': '016'};30;5d07a8fc3ba2ba51625e9993e61a491b;60.174175;24.96148;Liisanpuistikko;2018-10-06T10:59:40.034000Z
16;4;{'uid': '021'};44;f65b68cc5f19045a8b07f59f47b5b010;60.17291;24.93913;Töölönlahdenkatu;2018-10-06T10:59:40.044000Z
17;10;{'uid': '023'};22;584e77525465ab5217822e6f6a9f7c39;60.171413;24.937402;Kiasma;2018-10-06T10:59:40.048000Z
18;0;{'uid': '032'};0;37edaaaed3d70f61d09ada463150023e;60.171346;24.931874;Eläinmuseo;2018-10-06T10:59:40.086000Z
